Y* (cm),P1 (Raw),P2 (Raw),P3 (Raw),P4 (Raw)
190,1.511780023574829,1.4690099954605103,1.4495799541473389,1.3089300394058228
180,1.5014499425888062,1.458299994468689,1.439020037651062,1.2990599870681763
170,1.490090012550354,1.448349952697754,1.429419994354248,1.2888799905776978
160,1.48117995262146,1.4388099908828735,1.4197900295257568,1.2789499759674072
150,1.4711500406265259,1.428920030593872,1.4087599515914917,1.2696800231933594
140,1.4625300168991089,1.4193300008773804,1.3994200229644775,1.2690099477767944
130,1.4526100158691406,1.4093999862670898,1.3904500007629395,1.2694000005722046
120,1.4427299499511719,1.399780035018921,1.3802599906921387,1.2684999704360962
110,1.4327000379562378,1.3911399841308594,1.3701499700546265,1.2685099840164185
100,1.4226900339126587,1.3798099756240845,1.3611500263214111,1.2686500549316406
90,1.413159966468811,1.3698099851608276,1.351789951324463,1.2686599493026733
80,1.4041500091552734,1.3609299659729004,1.342039942741394,1.2686699628829956
70,1.3944000005722046,1.3508100509643555,1.3326499462127686,1.2685699462890625
60,1.3840999603271484,1.3402800559997559,1.321329951286316,1.2689800262451172
50,1.3740500211715698,1.3310600519180298,1.3116199970245361,1.2695300579071045
40,1.3632500171661377,1.3219200372695923,1.3024799823760986,1.2684400081634521
30,1.3549799919128418,1.3119900226593018,1.2920500040054321,1.2688000202178955
20,1.3444600105285645,1.3023699522018433,1.2829300165176392,1.2688699960708618
10,1.3351099491119385,1.2933800220489502,1.2736200094223022,1.2689199447631836
