Y* (cm),P1 (Raw),P2 (Raw),P3 (Raw),P4 (Raw)
166.7,1.4815800189971924,1.4405399560928345,1.4152100086212158,1.3199100494384766
156.7,1.4794100522994995,1.438330054283142,1.4148499965667725,1.3200299739837646
146.7,1.4717799425125122,1.431130051612854,1.4078400135040283,1.3131500482559204
136.7,1.4608900547027588,1.4213299751281738,1.396090030670166,1.3006500005722046
126.7,1.4524999856948853,1.4118800163269043,1.3875000476837158,1.2919700145721436
116.7,1.4416699409484863,1.4028600454330444,1.3778899908065796,1.2856199741363525
106.7,1.4331599473953247,1.3926600217819214,1.373329997062683,1.2647500038146973
96.7,1.4228399991989136,1.383270025253296,1.358139991760254,1.266890048980713
86.7,1.4137400388717651,1.3732399940490723,1.349079966545105,1.2665200233459473
76.7,1.404039978981018,1.3642100095748901,1.3391400575637817,1.2667100429534912
66.7,1.3938299417495728,1.3538999557495117,1.33201003074646,1.2658400535583496
56.7,1.3864500522613525,1.3449100255966187,1.3247400522232056,1.266029953956604
46.7,1.3756099939346313,1.33364999294281,1.3106900453567505,1.2665799856185913
36.7,1.3656100034713745,1.3240599632263184,1.2993500232696533,1.2666900157928467
26.7,1.3565399646759033,1.3139499425888062,1.2913800477981567,1.2666200399398804
16.7,1.3445700407028198,1.3046900033950806,1.2831799983978271,1.2657300233840942
6.7,1.3358099460601807,1.2946399450302124,1.2703800201416016,1.2674599885940552
