Device Information
Type,5165A4,5165A4,5165A4
Name,LabAmp1,LabAmp3,LabAmp2
Description,Dynamic dual mode charge amplifier,Dynamic dual mode charge amplifier,Dynamic dual mode charge amplifier
Serial Number,5954878,5954877,5954876
Software Version,5165AX-V1.3.1-0-gdb599dd,5165AX-V1.3.1-0-gdb599dd,5165AX-V1.3.1-0-gdb599dd
Hardware Version,550113,550113,550113

Sampling Rate,1000 Hz,1000 Hz,1000 Hz
Pre-Trigger Setting,0 s,0 s,0 s
Post-Trigger Setting,0 s,0 s,0 s

Channel 1
Name,Pressure_1,Pressure_5,Pressure_3
Serial Number,5122770,5122776,5122778
Type,Voltage,Voltage,Voltage
Sensitivity,0.8400,0.8400,0.8400
Sensor Unit,V/bar,V/bar,V/bar
Range,5,5,5
Unit,bar,bar,bar
Signal Mode,Live,Live,Live
Global Filters,Enabled,Enabled,Enabled
Low Pass Filter,Disabled,Disabled,Disabled
High Pass Filter,Disabled,Disabled,Disabled
Notch Filter,Disabled,Disabled,Disabled

Channel 2
Name,Temperature_1,Temperature_5,Temperature_3
Serial Number,5122770,5122776,5122778
Type,Voltage,Voltage,Voltage
Sensitivity,1,1,1
Sensor Unit,V/V,V/V,V/V
Range,10,10,10
Unit,V,V,V
Signal Mode,Live,Live,Live
Global Filters,Enabled,Enabled,Enabled
Low Pass Filter,Disabled,Disabled,Disabled
High Pass Filter,Disabled,Disabled,Disabled
Notch Filter,Disabled,Disabled,Disabled

Channel 3
Name,Pressure_2,Pressure_6,Pressure_4
Serial Number,5122773,5122777,5122769
Type,Voltage,Voltage,Voltage
Sensitivity,0.8400,0.8400,0.8400
Sensor Unit,V/bar,V/bar,V/bar
Range,5,5,5
Unit,bar,bar,bar
Signal Mode,Live,Live,Live
Global Filters,Enabled,Enabled,Enabled
Low Pass Filter,Disabled,Disabled,Disabled
High Pass Filter,Disabled,Disabled,Disabled
Notch Filter,Disabled,Disabled,Disabled

Channel 4
Name,Temperature_2,Temperature_6,Temperature_4
Serial Number,5122773,5122777,5122769
Type,Voltage,Voltage,Voltage
Sensitivity,1,1,1
Sensor Unit,V/V,V/V,V/V
Range,10,10,10
Unit,V,V,V
Signal Mode,Live,Live,Live
Global Filters,Enabled,Enabled,Enabled
Low Pass Filter,Disabled,Disabled,Disabled
High Pass Filter,Disabled,Disabled,Disabled
Notch Filter,Disabled,Disabled,Disabled

Measurement ID,1

Repetition 1
Start Time,1573915516.000000019,1573915516.000000023,1573915516.000000021
End Time,1573915569.974000019,1573915569.968000023,1573915569.980000021
Duration,53.974000000s,53.968000000s,53.980000000s
Status,OK,OK,OK
